ID,USER_ID,EXTERNAL_USER_ID,DEVICE_ID,APP_GROUP_ID,APP_GROUP_API_ID,TIME,DISPATCH_ID,SEND_ID,CAMPAIGN_ID,CAMPAIGN_API_ID,MESSAGE_VARIATION_API_ID,CANVAS_ID,CANVAS_API_ID,CANVAS_VARIATION_API_ID,CANVAS_STEP_API_ID,CANVAS_STEP_MESSAGE_VARIATION_API_ID,GENDER,COUNTRY,TIMEZONE,LANGUAGE,EMAIL_ADDRESS,USER_AGENT,IP_POOL,MACHINE_OPEN,ESP,FROM_DOMAIN,IS_AMP,SF_CREATED_AT
GcV8fPEH4YeUkg,0lTYoYFMSZacQ4g,IU5P6fpsLIN,6I0W98Bk0RxaVV,JyWFOSKn8bq,RrHnMYoiFp0mxh,2025-05-29 05:13:06.000 -0700,lXdXPkVKTo4gyf,XqDxeJFzH0M1lc,CgHtfyv6Gab3zPP,Ynq7dF68DtlNRLx,xCnh3rY5bKG4PP,,,2QrUReHmFcO7K0,,tTGjH7urbxHE6v,F,US,Europe/Oslo,en,xWgAjGud@gmail.com,lfBVp1E,fSoTIjArIDuuNQ,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:12:25.781 -0800
1E36CsfaUVmFc1,0lcX70LLZik2peM,LeR4Hq9zs4h,wJSLIOr9TOBuGe,OkIYT1HbF7u,A7i6aXUD3WKhbz,2025-06-14 21:52:54.000 -0700,VWuvOnkLgDyGr6,sN5z28siXJXPiI,S8iCiPiSPUTq5fj,2UJenn43fRCXFg8,ryDkt1UTL6Qlkl,,,4bZsPL0b8HNSjP,,ukQLwpL2DZXuJ3,M,US,America/New_York,en,XXj02a3q@appboy.com,3p8jA23,FKQk1CCUVy0QjY,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:12:26.006 -0800
A99sJ1uJuzF0J8,0lNlFqDHMh58lFo,W9dVHRUWGV6,SPQ1ByjoFVyCI0,JyWFOSKn8bq,ilWhGaDYjEZRQ4,2024-04-28 04:35:42.000 -0700,wPUM7IbeUezsO3,Gnn3iEa3FGTNgg,5EgQTBmtIJf1qSw,74kkOE3Y5ykuYAr,PvxyefpxSXYBMg,,,S56aE4dDsR9oj3,,IYuu13IU26xxHr,M,US,Asia/Singapore,en,xRASgjtz@example.com,O5xaUcl,jYKnSgbY8FAY4m,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:56.663 -0800
D4HHdCFo3OVxKk,0lPNOdqfAYw2mga,E81nya59NjS,yOkuSdHzIw8UyI,JyWFOSKn8bq,qtJMstaYtsnS0l,2023-10-21 01:12:25.000 -0700,CgqKHyu3JnfmaP,c7YuTiHva21xnZ,MvpzegpaMv3ol3M,fWaKPnbbhxYY6G7,NIDvGE1MhlOH2M,,,8oSph1w64GWcDS,,yyeujRUtmFHxyf,F,US,Indian/Chagos,en,RMsy9Wkc@braze-inc.com,BqRPoxJ,VwX4O25Fxk24xh,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:41.507 -0800
suV5GdS2KDz20f,0kpNL6DCuouhfav,L3QpmApvVrM,TIouwnvF0s2NOa,OkIYT1HbF7u,HcBgqkpYJ5VTqI,2025-02-03 16:11:42.000 -0800,TESQUQbFiiIGvj,tWbacqxNaDUfz4,Ze9TMKuruJ4IrEI,8LjjwTI3SCJKEAR,IBn415L0Jwgp6q,,,OojBWBAE0PotT6,,FBrPIq9fcQHPwZ,M,US,Indian/Chagos,en,yFB0yHgf@gmail.com,Qjt0XjR,VtFQJFrQJPlyHe,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:56.175 -0800
8TqTukTHiDX79F,0kq9yUziIYxLV4X,XmIfXchEstX,rPmw0jg5OJap1c,JyWFOSKn8bq,hHpeD4AHUVO7R7,2023-11-23 11:24:58.000 -0800,a5PgvCnbgiCrbR,IjAUlBjllmPYH2,K0aIMVymi2HTNp7,SKc3PUQ9YauRbrJ,92yR6HPtglfYMk,,,Fg7OhnhDzcFQL2,,I5cOpUxmjNoWux,F,US,Asia/Singapore,en,fSciumGn@braze-inc.com,lVFnOvZ,EM6wW3jaSWtdTn,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:45.741 -0800
xKsk9GanDpItoY,0lKFpFzYb2ohCkl,1jPKOjKETxA,e8rYvDI93bDdwl,JyWFOSKn8bq,1QEuq7ruOnmH6n,2025-06-30 23:29:04.000 -0700,jJ50SO5yRV4En3,ruaejDrtcdcv6K,Ze9TMKuruJ4IrEI,8LjjwTI3SCJKEAR,IBn415L0Jwgp6q,,,hWrc0aM49Xh7el,,jIPxeRmKSSwhC3,M,US,Indian/Chagos,en,yFXj9uQb@braze-inc.com,hsa1paQ,d6JY5eELXYhr8t,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:45.883 -0800
jsJscYNqgW0bTz,0lVGZYTzzhd2vaJ,hM5aXcFSlcz,WA86ePjIVE1ncX,JyWFOSKn8bq,615yGtszmH1OO3,2024-12-11 03:09:35.000 -0800,1As6JWr0aNcHcI,ZSrv9igfxZQfLm,S8iCiPiSPUTq5fj,2UJenn43fRCXFg8,ryDkt1UTL6Qlkl,,,Fpndd7GV7HP7fQ,,ZoL0Qtjd4AXwZF,,US,Indian/Chagos,en,PdbSp0MY@gmail.com,ygI5ipr,SNBZ2zaqQrvUuz,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:55.712 -0800
gg5fdZ8qLbwaRx,0leRO25wMVCKTHZ,IWeWPK2Iost,ePC5ClmxjeBfRa,OkIYT1HbF7u,v0A3pI7N6LW8XJ,2023-09-02 04:32:00.000 -0700,Bs88p3YuXlI2q4,ghDENoXBqmWGDG,5EgQTBmtIJf1qSw,74kkOE3Y5ykuYAr,PvxyefpxSXYBMg,,,O78GPvud1uDJoK,,cLB6cCB3fPloy7,,US,America/Denver,en,lWGN41Du@appboy.com,e8DPxLZ,dqjETDZKpvFIem,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:45.741 -0800
eCzDUyehP4ysLl,0l0HJWsLRBVfAOF,HGKQ1ZKW7lq,pwz3Aop3yUtCnR,JyWFOSKn8bq,YLWGBtD5jISsAT,2025-02-26 17:45:45.000 -0800,eieUwTffhCfgn2,0oS9dsaLqfYl2a,brmVaZKzH79WRlQ,AYRRmRufHFuB5qX,FSwSab3A9DCkiz,,,PARK1EOHq2YuCl,,xmd956Z64DWtzs,M,US,Indian/Chagos,en,ZEWsWt8Z@braze-inc.com,G3vOVP9,BFYzJz9ey1IQ3Y,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:12:08.413 -0800
1J3TG9uJipjSbW,0lCZXUCy4AZdMy4,oscqMwq4u8i,GA10VDBXlENV3T,JyWFOSKn8bq,HDhPaGXT3iPICh,2024-02-05 17:59:54.000 -0800,7I53ltk1DDx9qq,TeXYAx3ewk81q8,oB23ss81rLGgW74,vgt3wN7sWPbnI4Y,pmpTnlOIDuUJ63,,,6DHDJkZXAnrkKm,,bAQG5BlLkeA7CQ,M,US,Indian/Chagos,en,xqzl8AZW@braze-inc.com,eAfq7I5,nKbawgQ16i0Gvx,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:55.798 -0800
Wbhim1cMN2ixf8,0lG8fXqFs8zhIq1,6NDX1eOoRlH,RNeScz96aglIem,OkIYT1HbF7u,zeyWjLkwfmRF10,2025-04-25 18:06:00.000 -0700,4gFs9aubTDW4jc,fH8iRsAShqfIL0,aXBwlxlHWf67tOG,3xMnXxeajZsL6ZC,3TIyuNcnLsga1w,,,sk7P8XcRdk2IWq,,JslAz66J0Olc1x,M,US,Asia/Singapore,en,GwvAFCPU@braze.com,fnKS1w6,XsgzW66yJjMpNz,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:12:18.721 -0800
bTiqUAR1UvoMYq,0lR3oUUdXIvldyX,gLTEhl4rW2G,LY9MY2X2r0hOBO,JyWFOSKn8bq,OAechxpKeUydFc,2025-04-16 07:24:48.000 -0700,E239KpokfWMBVs,gJo5gUsGh3qf4b,S8iCiPiSPUTq5fj,2UJenn43fRCXFg8,ryDkt1UTL6Qlkl,,,BwkfoVEzU6cGHY,,WP2AVGI7IdcEuN,,US,America/New_York,en,52tQZ3Uw@gmail.com,t1J2EVu,BuWpR2iCgCuE4i,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:12:18.658 -0800
2z3ixeW3TFM54E,0lHqcpLOS4vf0TK,zHHUM1pQOEu,AXJeiIQ28kpwm3,JyWFOSKn8bq,D2morIWrWMaBBS,2024-05-24 12:57:45.000 -0700,3JoUXDSDHJl1Oh,vgAhtbTfK1bkYY,z9K6Mn2xXvL1dEp,eUO50l724rERGDk,3Wg80fScJSx21Y,,,XS1cyeP5kAUytT,,v9FYtnYgHHPznu,M,US,America/Denver,en,Q1GXEkl2@example.com,sc2QQOp,hFx8A2GOohZbfX,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:12:08.148 -0800
paDPGqbVtmM75K,0lMOzTtJYzf7lOM,f0cex40HlDd,y5zY8QzO7QyKGG,OkIYT1HbF7u,Kx3MNgTauGYpP8,2023-09-12 15:11:28.000 -0700,wkIzE7kM7sQ6pp,xvSrqc2LErofbq,brmVaZKzH79WRlQ,AYRRmRufHFuB5qX,FSwSab3A9DCkiz,,,UGNvRy6RKsXKaY,,TIqwmfKR7MviQA,M,US,America/New_York,en,DQ0ZNwjc@example.com,VwCeHnS,vrxk5PfjUnyLoy,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:45.741 -0800
R7QIaFox10QRcT,0kp4j0PqxwNmOQE,HZ7OBSn29Z8,mYXApQFdv7afGT,OkIYT1HbF7u,xmIWRZTLKRCT1T,2024-03-01 00:09:31.000 -0800,69lJGwzBKqKc6P,h9ahZGHyrjFqKS,CgHtfyv6Gab3zPP,Ynq7dF68DtlNRLx,xCnh3rY5bKG4PP,,,umVqrG5JNjEizc,,PqA1TyG28edtK9,M,US,America/New_York,en,og0e8XUr@appboy-co.com,n0huAUM,FRRVvXZvhkZ5DJ,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:56.485 -0800
ltArE4b46r1HXM,0ln4V2xzrIvN4zv,7TW2HgRBgwb,AAnk0GClbSShlA,JyWFOSKn8bq,vJH1HYlukb1SwL,2025-03-14 22:22:18.000 -0700,75jGrhY5WdxRbu,shwciOWTfsjNMH,z9K6Mn2xXvL1dEp,eUO50l724rERGDk,3Wg80fScJSx21Y,,,bBMLzTwf53z4CZ,,Kr877ZGIxKiNdX,,US,America/Denver,en,3OZMYIiY@example.com,CqV03TP,ptiu3iBZ2KwGun,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:12:18.334 -0800
X6FyNcqUS3mj2n,0lprTGZSvQNOj8o,PjEVHC4VpH5,sqACkhmJnAROXs,JyWFOSKn8bq,mP81o9kA1f0BdS,2025-06-20 07:53:24.000 -0700,M1gX4toqskS5L6,uSQLxepsEqxKVn,MvpzegpaMv3ol3M,fWaKPnbbhxYY6G7,NIDvGE1MhlOH2M,,,vqZX4dA6OXRr2S,,0YgbmLHn9Hs5Sk,M,US,Indian/Chagos,en,68kjM8Sw@example.com,KxMWmSq,K7MmL9GOO3oB50,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:56.280 -0800
xeF4YvMovO1ddT,0lsBcvOyEt5dbbZ,xQpSBG6v53g,5Ka1GVHrgWtTm0,OkIYT1HbF7u,RqhcScRxXe2Mr6,2025-01-30 07:12:03.000 -0800,v8FMnl4cBhpoKM,q1vCdJYNQnNZbb,z9K6Mn2xXvL1dEp,eUO50l724rERGDk,3Wg80fScJSx21Y,,,PJiSFfBQA1Jv4e,,oxFWqiRUUyPtMu,,US,Indian/Chagos,en,bz7ugKQr@braze-inc.com,l3L5Sta,LJqOAZGVdbK2MG,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:56.388 -0800
axctXvJzI7fH8a,0mCRXs7MX1122UL,4uWlsVFK81S,mjQNtgECU0PxPf,OkIYT1HbF7u,22MLsVvDnLWlb1,2025-04-13 11:16:00.000 -0700,btqIH048ciHd0l,Ca1vFzgqErPB6d,K0aIMVymi2HTNp7,SKc3PUQ9YauRbrJ,92yR6HPtglfYMk,,,cJRmWaqcJSZbVM,,GIZKaHl9wF0GR4,F,US,America/New_York,en,E60zFvWL@example.com,mhleqjH,4VkSYLXN5r3ROQ,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:12:18.595 -0800
LpkRuG8rKdRFhp,0mFYSQCOiz0qtMI,qSUYljfM85J,zgTwO1tUcIRL5u,JyWFOSKn8bq,BN4kcYbHPxnQdC,2024-08-02 22:54:04.000 -0700,zT42JTcKxg26mz,N6akmevAzV84hM,z9K6Mn2xXvL1dEp,eUO50l724rERGDk,3Wg80fScJSx21Y,,,VYLqYstF6HGDXc,,iy0q0tIsj4paKZ,F,US,Europe/Oslo,en,gTAViTfD@appboy.com,53L4FkU,x4WjwPKxcteV8p,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:12:08.491 -0800
hEunnRRnop9osQ,0mJTXR69yVAb0mC,VzURy46uNRE,R408JtH2PB74Vz,JyWFOSKn8bq,Yve0Eb3qKnaG1Y,2025-02-09 14:24:00.000 -0800,02PQDmBmZe7SP6,JNs7Ua4sesXJyl,MvpzegpaMv3ol3M,fWaKPnbbhxYY6G7,NIDvGE1MhlOH2M,,,17SHDCRgBhcjSi,,KxeFGNBHfxAH99,M,US,Indian/Chagos,en,qKrCSLqZ@braze-inc.com,lmoq0SP,AQdCsVuVHfNuEH,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:12:01.635 -0800
D7vE4Z75fpjk47,0loKOFdOE8A50Oh,8Q95RPk5dJb,aPymLiyO97R11X,JyWFOSKn8bq,4ZowMDtjhlJqPB,2024-05-12 20:36:10.000 -0700,9opWBPaeTO3YcL,my7x6bRPIOEcwa,z9K6Mn2xXvL1dEp,eUO50l724rERGDk,3Wg80fScJSx21Y,,,pXbVCTu57gxfx9,,7wPbuNRtsFOWnS,F,US,America/Denver,en,61vEJfyE@appboy.com,rdpfoho,3rvD8xcapo9Mfo,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:12:01.635 -0800
5QY8zRjr5lFiBX,0lsqj4EeIfpSJFh,YwfKYrJ9GiK,87AeNa0flQ6Atf,OkIYT1HbF7u,5pCTEYHwQNG9I3,2024-01-03 01:55:01.000 -0800,F0wg6zYpWLgfwr,0tbGN63d09URYi,5EgQTBmtIJf1qSw,74kkOE3Y5ykuYAr,PvxyefpxSXYBMg,,,egdUIyVmXTPBF6,,V6zv1UrIbBWoUM,M,US,America/New_York,en,aaQ3rtXg@appboy-co.com,GtGxVaT,cs76HPoLzsex8u,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:55.281 -0800
B9T6GkGDqVK0LD,0mSIS7VHV6oLZzy,yfEruAKt4Ap,ymTZ9Hrxrzdzqt,JyWFOSKn8bq,fB4UwEbKhONog0,2025-06-30 13:55:09.000 -0700,fMPzUxc0I9bvhd,0jQKL8g23ssiqD,MvpzegpaMv3ol3M,fWaKPnbbhxYY6G7,NIDvGE1MhlOH2M,,,qw0vgyYDpIvSrA,,CnGfUX8jIrxtnL,M,US,America/Denver,en,b6o2vqpA@braze.com,hlBY6w1,Biunf1Sttf80KB,,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:45.883 -0800
